,cashtag,conversation_parent,conversation_replies,created_at,liked_by_self,official_account,sentiment,sentiment score,source,spans,text,total_likes,clean_text,base_text,POS_VB,POS_VBD,POS_VBG,POS_VBN,POS_VBP,POS_VBZ,POS_VM,=+num,=-num,num%,=+num%,=-num%,$num,word_num,ordinal_num,num-num,num-num%,num-num-num,num/num,num/num/num,only_number,call_+num%,call_-num%,put_+num%,put_-num%,bull,bear,number_of_!,number_of_?,number_of_$,continous_!,continous_?,AFINN_sum_score,AFINN_max_score,AFINN_min_score,AFINN_pos_ratio,AFINN_neg_ratio,BingLiu_pos_ratio,BingLiu_neg_ratio,General_Inquirer_pos_ratio,General_Inquirer_neg_ratio,NRC_Hashtag_sum_score,NRC_Hashtag_max_score,NRC_Hashtag_min_score,NRC_Hashtag_pos_ratio,NRC_Hashtag_neg_ratio,SentiWordNet_sum_score,SentiWordNet_max_score,SentiWordNet_min_score,SentiWordNet_pos_ratio,SentiWordNet_neg_ratio,Avg_TFIDF_1-grams,Avg_TFIDF_2-grams,Avg_TFIDF_3-grams,Avg_TFIDF_4-grams,caps_word,hashtags
0,$NFLX,,0,"[3pm,24pm)",0,0,,-0.494,stocktwits,['out $NFLX -.35'],out $NFLX -.35,0,out $NFLX -.35,out $NFLX -.35,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.036883261,0,-0.036883261,0,0.333333333,0,,,0,0,4.275427994,,,,0,0
1,$PLUG,1,0.266666667,"[0am,9am)",0,0,,0.403,stocktwits,['Very intrigued with the technology and growth potential'],Been doing some work on $PLUG this evening. Very intrigued with the technology and growth potential,1,Been doing some work on $PLUG this evening Very intrigued with the technology and growth potential,been do some work on $PLUG thi even veri intrigu with the technolog and growth potenti,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.4,0.4,0,0.0625,0,0.0625,0,0,0,-0.204068923,0.177081171,-0.09127396,0.375,0.5625,0,0,0,0,0,4.984655402,7.322637598,7.589613999,7.589613999,0,0
2,$GMCR,,0,"[3pm,24pm)",0,0,,0,stocktwits,"['short worked', 'puts up']",MY $LNKD short worked. Thank you $GMCR for the hint. $LNKD puts up 50%,0,MY $LNKD short worked Thank you $GMCR for the hint $LNKD puts up 50 %,MY $LNKD short work thank you $GMCR for the hint $LNKD put up 50 %,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0.4,0.4,0,0.066666667,0,0.133333333,0,0,0,-0.492145872,0.063179019,-0.162826102,0.133333333,0.666666667,0,0,0,0,0,4.899670787,7.186909451,7.589613999,7.589613999,1,0
3,$JOSB,,0,"[3pm,24pm)",0,0,,-0.546,stocktwits,"['absolute garbage still up', 'stores TOTALLY EMPTY', 'stock mispriced']",meanwhile this absolute garbage still up. $MW stores TOTALLY EMPTY. inventory galore. stock mispriced $JOSB,0,meanwhile this absolute garbage still up $MW stores TOTALLY EMPTY inventory galore stock mispriced $JOSB,meanwhil thi absolut garbag still up $MW store total empti inventori galor stock mispric $JOSB,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,-0.2,0,-0.2,0,0.066666667,0.066666667,0.066666667,0,0,-0.876202339,0.011417895,-0.226627915,0.133333333,0.666666667,-0.5,0,-0.25,0,0.375,6.225445819,7.55582524,7.589613999,7.589613999,2,0
4,$GOOGL,,0,"[3pm,24pm)",0,0,,-0.398,stocktwits,['$GOOG $GOOGL would suck'],who would of guessed $AMZN would kill it and $GOOG $GOOGL would suck...not me lol,0.333333333,who would of guessed $AMZN would kill it and $GOOG $GOOGL would suck ot me lol,who would of guess $AMZN would kill it and $GOOG $GOOGL would suck ot me lol,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,-0.6,0.6,-0.6,0.0625,0.125,0,0.125,0,0,-1.110995779,0.015569857,-0.207944087,0.0625,0.75,-0.5,0,-0.5,0,0.5,6.258644543,7.184148891,7.184148891,7.184148891,0,0
5,$XLI,,0,"[9am,3pm)",0,0,,0.025,stocktwits,['No edge offered'],$XLP $XLF $XLY $XLE $XLU $XLI Heavy volume alert. 50:50 split in defensive and cyclical sectors. No edge offered,0,$XLP $XLF $XLY $XLE $XLU $XLI Heavy volume alert 50:50 split in defensive and cyclical sectors No edge offered,$XLP $XLF $XLY $XLE $XLU $XLI heavi volum alert 50:50 split in defens and cyclic sector No edg offer,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,-0.4,0,-0.2,0,0.105263158,0,0.105263158,0,0,-0.434295204,0.015569857,-0.181925126,0.157894737,0.368421053,0,0,0,0,0,5.745627979,6.896466818,6.896466818,6.896466818,0,0
6,$PCLN,,0,"[3pm,24pm)",0,1,,0.486,stocktwits,['runs into the 50sma on the acquisition news'],$PCLN runs into the 50sma on the acquisition news,0,$PCLN runs into the 50sma on the acquisition news,$PCLN run into the 50sma on the acquisit news,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.15542177,0,-0.066500588,0,0.666666667,0,0,0,0,0,5.449878915,6.886362715,7.589613999,7.589613999,0,0
7,$AA,0,0.05,"[3pm,24pm)",0,0,Bearish,0.308,stocktwits,"[""t can't go down""]",@stuarthatlen make sure you wait for 17. don&#39;t settle for 16.95. that would be throwing money away. it can&#39;t go down. $aa,0,make sure you wait for 17 do not settle for 16.95 that would be throwing money away it can not go down $aa,make sure you wait for 17 do not settl for 16.95 that would be throw money away it can not go down $aa,4,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1.504463359,0.010310705,-0.210296865,0.043478261,0.869565217,-1.5,0.125,-0.625,0.076923077,0.307692308,5.354443073,7.017748812,7.516183119,7.589613999,0,0
8,$AAPL,1,0,"[0am,9am)",0,0,,-0.372,stocktwits,['now seems like its helping the downtrend'],$AAPL china was always AAPL ace up the sleave now seems like its helping the downtrend,0,$AAPL china was always APL ace up the sleeve now seems like its helping the downtrend,$AAPL china wa alway apl ace up the sleev now seem like it help the downtrend,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.8,0.4,0,0.125,0,0.125,0,0,0,-0.609092796,0.054875095,-0.086014809,0.0625,0.8125,0.125,0.125,0,0.111111111,0,5.86677729,7.466241074,7.589613999,7.589613999,1,0
9,$AAPL,,0,"[3pm,24pm)",0,0,,0.461,stocktwits,['mastered their supply chain'],"RT @Dasan @TMTanalyst ...since $AAPL mastered their supply chain // in cornering NAND, Apple mastered EVERYONE&#39;S supply chain!",0,ince $AAPL mastered their supply chain // in cornering NAND Apple mastered EVERYONE'S supply chain !,inc $AAPL master their suppli chain // in corner nand appl master everyone' suppli chain !,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.417202962,0.048231956,-0.178188361,0.25,0.5625,1.25,0.625,0,0.25,0,8.690852228,8.205857979,7.589613999,7.589613999,2,0
