,index,cashtag,conversation_parent,conversation_replies,created_at,liked_by_self,official_account,sentiment,sentiment score,source,spans,text,total_likes,clean_text,base_text,POS_VB,POS_VBD,POS_VBG,POS_VBN,POS_VBP,POS_VBZ,POS_VM,+num,-num,num%,+num%,-num%,$num,word_num,ordinal_num,num-num,num-num%,num-num-num,num/num,num/num/num,only_number,call_+num%,call_-num%,put_+num%,put_-num%,bull,bear,number_of_!,number_of_?,number_of_$,continous_!,continous_?,AFINN_sum_score,AFINN_max_score,AFINN_min_score,AFINN_pos_ratio,AFINN_neg_ratio,BingLiu_pos_ratio,BingLiu_neg_ratio,General_Inquirer_pos_ratio,General_Inquirer_neg_ratio,NRC_Hashtag_sum_score,NRC_Hashtag_max_score,NRC_Hashtag_min_score,NRC_Hashtag_pos_ratio,NRC_Hashtag_neg_ratio,SentiWordNet_sum_score,SentiWordNet_max_score,SentiWordNet_min_score,SentiWordNet_pos_ratio,SentiWordNet_neg_ratio,Avg_TFIDF_1-grams,Avg_rf_1-grams,Avg_TFIDF_2-grams,Avg_rf_2-grams,Avg_TFIDF_3-grams,Avg_rf_3-grams,Avg_TFIDF_4-grams,Avg_rf_4-grams,W2V_50_Means,GloVe40_Means
0,0,$NFLX,,0.0,"[3pm,24pm)",0.0,0.0,,-0.494,stocktwits,['out $NFLX -.35'],out $NFLX -.35,0.0,out $NFLX -.35,out $NFLX -.35,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03688326067400194,0.0,-0.03688326067400194,0.0,0.3333333333333333,0.0,,,0.0,0.0,4.275427994373121,1.33828514193353,,,,,,,26,3
1,1,$PLUG,1.0,0.26666666666666666,"[0am,9am)",0.0,0.0,,0.40299999999999997,stocktwits,['Very intrigued with the technology and growth potential'],Been doing some work on $PLUG this evening. Very intrigued with the technology and growth potential,1.0,Been doing some work on $PLUG this evening Very intrigued with the technology and growth potential,been do some work on $PLUG thi even veri intrigu with the technolog and growth potenti,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.3999999999999999,0.3999999999999999,0.0,0.0625,0.0,0.0625,0.0,0.0,0.0,-0.20406892256591347,0.17708117085322805,-0.09127396027956547,0.375,0.5625,0.0,0.0,0.0,0.0,0.0,4.984655402235597,1.4329453317021477,7.322637597739694,1.224582902401064,7.58961399904565,1.0986122886681096,7.58961399904565,1.0986122886681096,6,9
2,2,$GMCR,,0.0,"[3pm,24pm)",0.0,0.0,,0.0,stocktwits,"['short worked', 'puts up']",MY $LNKD short worked. Thank you $GMCR for the hint. $LNKD puts up 50%,0.0,MY $LNKD short worked Thank you $GMCR for the hint $LNKD puts up 50 %,MY $LNKD short work thank you $GMCR for the hint $LNKD put up 50 %,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0.3999999999999999,0.3999999999999999,0.0,0.06666666666666667,0.0,0.13333333333333333,0.0,0.0,0.0,-0.4921458722579759,0.06317901875302745,-0.1628261019998617,0.13333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,4.899670786549508,1.2862463371983945,7.186909450937163,0.8805248420677485,7.589613999045648,0.6931471805599453,7.589613999045647,0.6931471805599453,6,33
3,3,$JOSB,,0.0,"[3pm,24pm)",0.0,0.0,,-0.546,stocktwits,"['absolute garbage still up', 'stores TOTALLY EMPTY', 'stock mispriced']",meanwhile this absolute garbage still up. $MW stores TOTALLY EMPTY. inventory galore. stock mispriced $JOSB,0.0,meanwhile this absolute garbage still up $MW stores TOTALLY EMPTY inventory galore stock mispriced $JOSB,meanwhil thi absolut garbag still up $MW store total empti inventori galor stock mispric $JOSB,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,-0.19999999999999996,0.0,-0.19999999999999996,0.0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0,0.0,-0.8762023389384826,0.01141789495536627,-0.2266279150231818,0.13333333333333333,0.6666666666666666,-0.5,0.0,-0.25,0.0,0.375,6.225445818628799,1.2694022071795017,7.555825240036636,1.0986122886681096,7.58961399904565,1.0986122886681096,7.589613999045649,1.0986122886681096,6,9
4,4,$GOOGL,,0.0,"[3pm,24pm)",0.0,0.0,,-0.39799999999999996,stocktwits,['$GOOG $GOOGL would suck'],who would of guessed $AMZN would kill it and $GOOG $GOOGL would suck...not me lol,0.3333333333333333,who would of guessed $AMZN would kill it and $GOOG $GOOGL would suck ot me lol,who would of guess $AMZN would kill it and $GOOG $GOOGL would suck ot me lol,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,-0.5999999999999999,0.6000000000000001,-0.6,0.0625,0.125,0.0,0.125,0.0,0.0,-1.1109957788388358,0.015569856757317702,-0.20794408691440047,0.0625,0.75,-0.5,0.0,-0.5,0.0,0.5,6.258644542829317,1.6611564019271012,7.184148890937482,1.3862943611198906,7.184148890937482,1.3862943611198906,7.184148890937483,1.3862943611198906,23,38
5,5,$XLI,,0.0,"[9am,3pm)",0.0,0.0,,0.025,stocktwits,['No edge offered'],$XLP $XLF $XLY $XLE $XLU $XLI Heavy volume alert. 50:50 split in defensive and cyclical sectors. No edge offered,0.0,$XLP $XLF $XLY $XLE $XLU $XLI Heavy volume alert 50:50 split in defensive and cyclical sectors No edge offered,$XLP $XLF $XLY $XLE $XLU $XLI heavi volum alert 50:50 split in defens and cyclic sector No edg offer,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,-0.3999999999999999,0.0,-0.19999999999999996,0.0,0.10526315789473684,0.0,0.10526315789473684,0.0,0.0,-0.43429520448411973,0.015569856757317702,-0.18192512628883828,0.15789473684210525,0.3684210526315789,0.0,0.0,0.0,0.0,0.0,5.7456279788078355,1.6726264098942352,6.896466818485703,1.6094379124341003,6.896466818485703,1.6094379124341003,6.8964668184857025,1.6094379124341003,6,5
6,6,$PCLN,,0.0,"[3pm,24pm)",0.0,1.0,,0.486,stocktwits,['runs into the 50sma on the acquisition news'],$PCLN runs into the 50sma on the acquisition news,0.0,$PCLN runs into the 50sma on the acquisition news,$PCLN run into the 50sma on the acquisit news,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15542177011971514,0.0,-0.0665005881945886,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,5.4498789146948825,1.503954531558026,6.886362714849629,1.1499958486105293,7.589613999045648,1.0986122886681098,7.589613999045648,1.0986122886681098,47,33
7,7,$AA,0.0,0.05,"[3pm,24pm)",0.0,0.0,Bearish,0.308,stocktwits,"[""t can't go down""]",@stuarthatlen make sure you wait for 17. don&#39;t settle for 16.95. that would be throwing money away. it can&#39;t go down. $aa,0.0,make sure you wait for 17 do not settle for 16.95 that would be throwing money away it can not go down $aa,make sure you wait for 17 do not settl for 16.95 that would be throw money away it can not go down $aa,4,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.504463358937099,0.010310705141512555,-0.21029686526883962,0.043478260869565216,0.8695652173913043,-1.5,0.125,-0.625,0.07692307692307693,0.3076923076923077,5.354443072953504,1.4667413700314569,7.0177488119103435,1.2965920119552512,7.51618311904663,1.1531028027243169,7.589613999045647,1.0986122886681098,23,6
8,8,$AAPL,1.0,0.0,"[0am,9am)",0.0,0.0,,-0.37200000000000005,stocktwits,['now seems like its helping the downtrend'],$AAPL china was always AAPL ace up the sleave now seems like its helping the downtrend,0.0,$AAPL china was always APL ace up the sleeve now seems like its helping the downtrend,$AAPL china wa alway apl ace up the sleev now seem like it help the downtrend,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.7999999999999998,0.3999999999999999,0.0,0.125,0.0,0.125,0.0,0.0,0.0,-0.6090927963462743,0.054875095149124586,-0.08601480866376032,0.0625,0.8125,0.125,0.125,0.0,0.1111111111111111,0.0,5.866777290278972,1.3151258967889634,7.466241074182043,1.1556485526836648,7.58961399904565,1.0986122886681096,7.58961399904565,1.0986122886681096,6,16
9,9,$AAPL,,0.0,"[3pm,24pm)",0.0,0.0,,0.461,stocktwits,['mastered their supply chain'],"RT @Dasan @TMTanalyst ...since $AAPL mastered their supply chain // in cornering NAND, Apple mastered EVERYONE&#39;S supply chain!",0.0,ince $AAPL mastered their supply chain // in cornering NAND Apple mastered EVERYONE'S supply chain !,inc $AAPL master their suppli chain // in corner nand appl master everyone' suppli chain !,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.41720296173275295,0.048231956266002296,-0.17818836066708188,0.25,0.5625,1.25,0.625,0.0,0.25,0.0,8.690852228166126,1.7815571048135943,8.205857979302861,1.291363519231754,7.58961399904565,1.0986122886681096,7.589613999045649,1.0986122886681096,6,5
