,index,cashtag,created_at,official_account,sentiment,source,spans,text,total_likes,clean_text,base_text,POS_VB,POS_VBD,POS_VBG,POS_VBN,POS_VBP,POS_VBZ,=+num,=-num,=+num%,=-num%,word_num,ordinal_num,num-num,num-num%,num-num-num,num/num,only_number,call_+num%,put_+num%,put_-num%,bull,bear,number_of_!,number_of_?,number_of_$,continous_!,continous_?,AFINN_sum_score,AFINN_max_score,AFINN_min_score,AFINN_pos_ratio,AFINN_neg_ratio,BingLiu_pos_ratio,BingLiu_neg_ratio,NRC_Hashtag_sum_score,NRC_Hashtag_max_score,NRC_Hashtag_min_score,NRC_Hashtag_pos_ratio,NRC_Hashtag_neg_ratio,SentiWordNet_sum_score,SentiWordNet_max_score,SentiWordNet_min_score,SentiWordNet_pos_ratio,SentiWordNet_neg_ratio,Avg_TFIDF_1-grams,Avg_TFIDF_2-grams,Avg_TFIDF_3-grams,Avg_TFIDF_4-grams,caps_word,hashtags,sentiment score
0,1444,$HPCQ,1,-1,0,twitter,Insiders Are Selling,Insiders Are Selling Facebook and Ford Motor $CBPO $F $FIT $FB $HPCQ $PRAH $NUAN $LYB https://t.co/15XRPpYNFz,-1,Insiders Are Selling Facebok and Ford Motor $CBPO $F $FIT $FB $HPCQ $PRAH $NUAN $LYB _url,insid are sell facebok and ford motor $CBPO $F $FIT $FB $HPCQ $PRAH $NUAN $LYB _url,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,-0.274929071,0.015569857,-0.178880354,0.0625,0.25,0.125,0.125,0,0.2,0,4.712005645,6.25985153,6.336851031,6.336851031,0,0,-0.351
1,898,$TLB,0,0,0,stocktwits,"anyone long before the flush please accept my condolences', 'Congrats. to all that were short",$TLB anyone long before the flush please accept my condolences.  Congrats. to all that were short.  I wasn&#39;t in either way.,0,$TLB anyone long before the flush please accept my condolences Congrats to all that were short I was not in either way .,$TLB anyon long befor the flush pleas accept my condol congrat to all that were short I wa not in either way .,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.8,0.4,0,0.130434783,0,0,0,-1.920282333,0.157151754,-0.733444052,0.173913043,0.782608696,-0.25,0.125,-0.625,0.333333333,0.111111111,5.24294293,7.425744772,7.589613999,7.589613999,0,0,-0.606
2,749,$VALE,2,0,0,stocktwits,Downbeaten stocks may be ripe for buys,Downbeaten stocks may be ripe for buys:  $SAN $VALE $AA $KMP $WPRT $CREE,0,Downbeaten stocks may be ripe for buys: $SAN $VALE $AA $KMP $WPRT $CREE,downbeaten stock may be ripe for buys: $SAN $VALE $AA $KMP $WPRT $CREE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,-0.176527576,0.024565774,-0.092519549,0.076923077,0.307692308,0.375,0.25,0,0.666666667,0,4.94872011,6.497024885,6.673323267,6.673323267,0,0,0.316
3,1392,$JD,1,-1,0,twitter,over 225 million new Internet users are being added globally every year,over 225 million new Internet users are being added globally every year $AMZN $FB $GOOG $BABA $CTRP $BIDU $JD https://t.co/n838HFWWxv,-1,over 225 million new Internet users are being added globally every year $AMZN $FB $GOOG $BABA $CTRP $BIDU $JD _url,over 225 million new internet user are be ad global everi year $AMZN $FB $GOOG $BABA $CTRP $BIDU $JD _url,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,-0.929070653,0.053075912,-0.379143312,0.1,0.5,0.625,0.375,0,0.375,0,5.129687689,6.476988012,6.49100171,6.49100171,0,0,0.337
4,597,$UUP,1,0,0,stocktwits,Finding Support,EUR/USD Finding Support Near 1.10 Level $ERO $UUP $UDN $FXE  http://stks.co/b29eU,0,EUR/USD Finding Support Near 1.10 Level $ERO $UUP $UDN $FXE _url,eur/usd find support near 1.10 level $ERO $UUP $UDN $FXE _url,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0.4,0.4,0,0.090909091,0,0.090909091,0,-0.257283233,0,-0.097363504,0,0.363636364,-0.25,0,-0.25,0,0.333333333,5.614073787,6.896466818,6.896466818,6.896466818,2,0,0.259
5,752,$ZNGA,2,0,0,stocktwits,shorts are getting nervous,&quot;@IfHeDiesHeDies: &quot;@Bullhorn334: $ZNGA shorts are getting nervous&quot;&quot;,0,$ZNGA shorts are getting nervous,$ZNGA short are get nervou,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.4,0,-0.4,0,0.2,0,0.2,-0.10435264,0.008788319,-0.075081309,0.2,0.6,0.375,0.125,0,0.75,0,5.367597285,7.454458963,7.589613999,7.589613999,0,0,0.366
6,1430,$NVDA,1,-1,0,twitter,"goes deep into #machinelearning and #AI territory with its new $125,000 supercomputer","$NVDA goes deep into #machinelearning and #AI territory with its new $125,000 supercomputer...  https://t.co/Ej3233wPcm",-1,"$NVDA goes deep into #machinelearning and #AI territory with its new $125,000 supercomputer _url","$NVDA go deep into #machinelearn and #ai territori with it new $125,000 supercomput _url",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,-0.187668673,0.053075912,-0.188429866,0.285714286,0.285714286,0.625,0.375,0,0.4,0,5.131886264,7.54456232,7.589613999,7.589613999,1,2,0.294
7,940,$GOOG,2,-1,0,twitter,,"@Fitbit outperforms after CNBC column highlights Google data, provides favorable Citron quote $FIT $GOOG $GOOGL https://t.co/MEgXyiBDzm",-1,outperforms after CNBC column highlights Google data provides favorable Citron quote $FIT $GOOG $GOOGL _url,outperform after cnbc column highlight googl data provid favor citron quot $FIT $GOOG $GOOGL _url,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0.133333333,0,-1.191197841,0,-0.733444052,0,0.533333333,0.875,0.75,0,0.25,0,6.175082202,6.896466818,6.896466818,6.896466818,1,0,0
8,693,$DDD,1,0,0,stocktwits,Sinks to 35,$DDD Sinks to 35,0,$DDD Sinks to 35,$DDD sink to 35,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.198256176,0,-0.127396028,0,0.75,0,0,0,0,0,5.056736702,7.589613999,0,0,0,0,-0.549
9,79,$BIOC,2,0,1,stocktwits,this will pop after the holiday,$BIOC bands will tighten all week and this will pop after the holiday with PR,0.833333333,$BIOC bands will tighten all week and this will pop after the holiday with PR,$BIOC band will tighten all week and thi will pop after the holiday with PR,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.452287039,0.015569857,-0.223306346,0.266666667,0.666666667,0,0,0,0,0,5.398918571,7.420596724,7.589613999,7.589613999,1,0,0.555
